year,continent,count
2020,Americas,166
2021,Americas,157
2019,Americas,148
2015,Americas,121
2016,Americas,119
2017,Americas,116
2012,Americas,108
2014,Americas,88
2018,Americas,83
2013,Americas,73
2018,Asia,65
2017,Asia,64
2016,Asia,61
2019,Asia,55
2015,Asia,49
2020,Asia,43
2021,Asia,33
2014,Asia,25
2012,Asia,22
2017,Africa,19
2020,Africa,18
2016,Africa,16
2018,Africa,14
2015,Africa,13
2021,Africa,10
2013,Asia,10
2012,Africa,8
2019,Africa,7
2013,Oceania,4
2013,Europe,4
2018,Europe,3
2017,Europe,2
2019,Europe,2
2014,Africa,2
2014,Oceania,1
2014,Europe,1
2020,Oceania,1
2012,Europe,1
2016,Europe,1
